Data;^BVSP;ALPA4
2017-12-27;76073.000000;13.274494
2017-12-26;75688.000000;13.143749
2017-12-25;FALSO;13.036077
2017-12-22;75187.000000;13.036077
2017-12-21;75133.000000;13.043768
2017-12-20;73367.000000;12.736132
2017-12-19;72680.000000;12.905331
2017-12-18;73115.000000;12.843802
2017-12-15;72608.000000;12.528477
2017-12-14;72429.000000;12.689987
2017-12-13;72914.000000;12.759204
2017-12-12;73814.000000;12.613078
2017-12-11;72800.000000;12.505405
2017-12-08;72732.000000;12.766895
2017-12-07;72487.000000;12.759204
2017-12-06;73268.000000;12.859187
2017-12-05;72546.000000;12.743823
2017-12-04;73090.000000;12.859187
2017-12-01;72264.000000;12.882258
2017-11-30;71971.000000;12.766895
2017-11-29;72700.000000;13.228350
2017-11-28;74140.000000;13.189896
2017-11-27;74059.000000;13.074532
2017-11-24;74157.000000;13.228350
2017-11-23;74487.000000;13.535986
2017-11-22;74519.000000;13.382167
2017-11-21;74595.000000;13.420622
2017-11-20;FALSO;12.945128
2017-11-17;73437.000000;12.945128
2017-11-16;72512.000000;12.761724
2017-11-15;70827.000000;12.456056
2017-11-14;70827.000000;12.456056
2017-11-13;72475.000000;12.563041
2017-11-10;72166.000000;12.509547
2017-11-09;72931.000000;12.761724
2017-11-08;74363.000000;13.090322
2017-11-07;72415.000000;12.990978
2017-11-06;74311.000000;13.227873
2017-11-03;73915.000000;12.990978
2017-11-02;FALSO;13.495335
2017-11-01;73824.000000;13.495335
2017-10-31;74308.000000;13.220231
2017-10-30;74800.000000;13.762796
2017-10-27;75976.000000;13.892705
2017-10-26;75896.000000;13.739870
2017-10-25;76671.000000;13.862138
2017-10-24;76350.000000;14.106673
2017-10-23;75413.000000;13.709304
2017-10-20;76391.000000;13.678736
2017-10-19;76283.000000;13.778078
2017-10-18;76591.000000;13.671096
2017-10-17;76201.000000;12.990978
2017-10-16;76892.000000;13.373068
2017-10-13;76990.000000;13.525901
2017-10-12;FALSO;13.449484
2017-10-11;76660.000000;13.449484
2017-10-10;76897.000000;13.235515
2017-10-09;75727.000000;12.761724
2017-10-06;76055.000000;12.494264
2017-10-05;76618.000000;12.456056
2017-10-04;76591.000000;12.341430
2017-10-03;76763.000000;12.226804
2017-10-02;74360.000000;12.127461
2017-09-29;74294.000000;11.997552
2017-09-28;73567.000000;11.982266
2017-09-27;73797.000000;11.882924
2017-09-26;74319.000000;11.844715
2017-09-25;74443.000000;11.844715
2017-09-22;75390.000000;11.982266
2017-09-21;75604.000000;11.921132
2017-09-20;76004.000000;12.150385
2017-09-19;75974.000000;11.959343
2017-09-18;75990.000000;11.852357
2017-09-15;75757.000000;11.707163
2017-09-14;74657.000000;11.462628
2017-09-13;74788.000000;11.600181
2017-09-12;74539.000000;11.607821
2017-09-11;74319.000000;11.424419
2017-09-08;73079.000000;11.027047
2017-09-07;FALSO;10.904780
2017-09-06;73412.000000;10.904780
2017-09-05;72151.000000;10.698452
2017-09-04;72129.000000;10.660244
2017-09-01;71923.000000;10.583825
2017-08-31;70835.000000;10.545618
2017-08-30;70886.000000;10.660244
2017-08-29;71330.000000;10.721377
2017-08-28;71017.000000;11.156960
2017-08-25;71074.000000;10.507410
2017-08-24;71133.000000;10.522693
2017-08-23;70478.000000;10.354574
2017-08-22;70011.000000;10.652603
2017-08-21;68635.000000;10.759586
2017-08-18;68715.000000;10.843646
2017-08-17;67977.000000;10.927705
2017-08-16;68594.000000;10.889497
2017-08-15;68355.000000;10.851288
2017-08-14;68285.000000;10.904780
2017-08-11;67359.000000;10.922914
2017-08-10;66992.000000;10.809132
2017-08-09;67671.000000;10.922914
2017-08-08;67899.000000;10.998767
2017-08-07;67940.000000;11.074621
2017-08-04;66898.000000;11.203571
2017-08-03;66777.000000;11.074621
2017-08-02;67136.000000;11.529741
2017-08-01;66516.000000;11.378035
2017-07-31;65920.000000;11.294596
2017-07-28;65497.000000;11.370448
2017-07-27;65277.000000;10.960840
2017-07-26;65011.000000;10.809132
2017-07-25;65668.000000;11.158059
2017-07-24;65100.000000;11.226327
2017-07-21;64684.000000;11.074621
2017-07-20;64938.000000;10.998767
2017-07-19;65180.000000;10.854646
2017-07-18;65338.000000;11.150475
2017-07-17;65212.000000;11.620765
2017-07-14;65436.000000;11.726961
2017-07-13;65178.000000;11.302181
2017-07-12;64836.000000;10.771206
2017-07-11;63832.000000;10.619498
2017-07-10;63025.000000;10.475377
2017-07-07;62322.000000;10.589156
2017-07-06;62470.000000;10.429866
2017-07-05;63154.000000;10.429866
2017-07-04;63232.000000;10.551232
2017-07-03;63280.000000;10.543645
2017-06-30;62900.000000;10.399523
2017-06-29;62239.000000;9.967158
2017-06-28;62018.000000;9.868548
2017-06-27;61675.000000;10.012671
2017-06-26;62188.000000;9.974744
2017-06-23;61087.000000;9.603062
2017-06-22;61272.000000;9.633403
2017-06-21;60762.000000;9.557549
2017-06-20;60766.000000;9.481695
2017-06-19;62014.000000;9.329988
2017-06-16;61626.000000;9.595475
2017-06-15;FALSO;9.474108
2017-06-14;61923.000000;9.474108
2017-06-13;61829.000000;9.398256
2017-06-12;61700.000000;9.322402
2017-06-09;62211.000000;9.398256
2017-06-08;62756.000000;9.405843
2017-06-07;63171.000000;9.466525
2017-06-06;62955.000000;9.360329
2017-06-05;62450.000000;9.246549
2017-06-02;62511.000000;9.140353
2017-06-01;62289.000000;8.988647
2017-05-31;62711.000000;9.026574
